2	{"objects": [{"G_caption": "a computer desk"}]}
3	{"objects": [{"G_caption": "a living room with a couch, a table, and a window"}]}
4	{"objects": [{"G_caption": "a desk with a computer and a chair"}]}
5	{"objects": [{"G_caption": "a kitchen counter with a bottle of water and a red apple"}]}
6	{"objects": [{"G_caption": "man sitting at desk"}]}
8	{"objects": [{"G_caption": "a room with a desk and a computer"}]}
9	{"objects": [{"G_caption": "a man sitting at a desk"}]}
15	{"objects": [{"G_caption": "people walking on the sidewalk"}]}
16	{"objects": [{"G_caption": "a desk with a computer and a monitor"}]}
17	{"objects": [{"G_caption": "a man sitting at a desk"}]}
19	{"objects": [{"G_caption": "a man sitting at a desk"}]}
20	{"objects": [{"G_caption": "woman sitting on couch"}]}
21	{"objects": [{"G_caption": "a tall building in the background"}]}
22	{"objects": [{"G_caption": "a black van parked in the street"}]}
23	{"objects": [{"G_caption": "a row of parked cars"}]}
24	{"objects": [{"G_caption": "the building is red"}]}
25	{"objects": [{"G_caption": "a busy city street"}]}
26	{"objects": [{"G_caption": "the table is made of wood"}]}
27	{"objects": [{"G_caption": "a white couch with red pillows"}]}
28	{"objects": [{"G_caption": "the sand is sandy"}]}
29	{"objects": [{"G_caption": "the tv is on"}]}
31	{"objects": [{"G_caption": "a kitchen with a sink, a dishwasher, and a counter"}]}
32	{"objects": [{"G_caption": "the couch is white"}]}
34	{"objects": [{"G_caption": "a desk with a chair"}]}
36	{"objects": [{"G_caption": "a white couch with pillows"}]}
37	{"objects": [{"G_caption": "a table with flowers"}]}
38	{"objects": [{"G_caption": "a dining room with a table and chairs"}]}
39	{"objects": [{"G_caption": "a table with a table cloth"}]}
40	{"objects": [{"G_caption": "a white microwave on a counter"}]}
42	{"objects": [{"G_caption": "the counter is black"}]}
43	{"objects": [{"G_caption": "the table is empty"}]}
44	{"objects": [{"G_caption": "the cars are driving on the street"}]}
45	{"objects": [{"G_caption": "a large building with windows"}]}
46	{"objects": [{"G_caption": "a wet road in the city"}]}
47	{"objects": [{"G_caption": "the buildings are tall"}]}
49	{"objects": [{"G_caption": "a white board on the wall"}]}
52	{"objects": [{"G_caption": "a parking meter on the sidewalk"}]}
54	{"objects": [{"G_caption": "a large building with many windows"}]}
55	{"objects": [{"G_caption": "a red bus on the road"}]}
56	{"objects": [{"G_caption": "a man crossing the street"}]}
58	{"objects": [{"G_caption": "a white building with a sign"}]}
62	{"objects": [{"G_caption": "the table is made of wood"}]}
63	{"objects": [{"G_caption": "a tall building with a windmill"}]}
64	{"objects": [{"G_caption": "a white car parked on the side of the road"}]}
68	{"objects": [{"G_caption": "a white plate with a blue stripe"}]}
69	{"objects": [{"G_caption": "a group of people sitting in chairs"}]}
70	{"objects": [{"G_caption": "a factory with many people working"}]}
71	{"objects": [{"G_caption": "a group of people sitting around a table with food"}]}
72	{"objects": [{"G_caption": "a group of people sitting at a table"}]}
73	{"objects": [{"G_caption": "a large screen television"}]}
76	{"objects": [{"G_caption": "a table with a laptop"}]}
78	{"objects": [{"G_caption": "a wooden table with chairs"}]}
82	{"objects": [{"G_caption": "a table with many books on it"}]}
83	{"objects": [{"G_caption": "the curtains are white"}]}
87	{"objects": [{"G_caption": "a living room with a couch, a chair, a table, a lamp, and a plant"}]}
88	{"objects": [{"G_caption": "a zebra rug on the floor"}]}
89	{"objects": [{"G_caption": "a living room with a couch, a table, and a bike"}]}
93	{"objects": [{"G_caption": "a plate of food on a table"}]}
94	{"objects": [{"G_caption": "a white plate on a table"}]}
95	{"objects": [{"G_caption": "a table with a plate of food and a candle"}]}
96	{"objects": [{"G_caption": "a table with a plate of food, a newspaper, and a cup of coffee"}]}
100	{"objects": [{"G_caption": "a tree with green leaves"}]}
101	{"objects": [{"G_caption": "the house is red brick"}]}
102	{"objects": [{"G_caption": "the trees are green"}]}
103	{"objects": [{"G_caption": "a black car in a parking lot"}]}
104	{"objects": [{"G_caption": "a man walking down the street"}]}
105	{"objects": [{"G_caption": "a large building with a large parking garage"}]}
106	{"objects": [{"G_caption": "a desk with two computers"}]}
107	{"objects": [{"G_caption": "a white line on the road"}]}
108	{"objects": [{"G_caption": "the buildings are red brick"}]}
109	{"objects": [{"G_caption": "the table is long"}]}
112	{"objects": [{"G_caption": "a white and black checkered road"}]}
113	{"objects": [{"G_caption": "a man and a woman"}]}
114	{"objects": [{"G_caption": "man wearing a white shirt"}]}
116	{"objects": [{"G_caption": "the bed is made"}]}
